ID,Species,Sex,Hyperlink,URL
1115,Abantis bismarcki,male,1115,https://lepdata.org/photos/animals/1115.jpg
1148,Abantis elegantula,male,1148,https://lepdata.org/photos/animals/1148.jpg
1544,Abantis elegantula,male,1544,https://lepdata.org/photos/animals/1544.jpg
1914,Abantis elegantula,female,1914,https://lepdata.org/photos/animals/1914.jpg
1543,Abantis elegantula,male,1543,https://lepdata.org/photos/animals/1543.jpg
1149,Abantis elegantula,male,1149,https://lepdata.org/photos/animals/1149.jpg
977,Abantis ja,male,977,https://lepdata.org/photos/animals/977.jpg
1701,Abantis leucogaster,male,1701,https://lepdata.org/photos/animals/1701.jpg
2311,Abantis lucretia,male,2311,https://lepdata.org/photos/animals/2311.jpg
4103,Abantis nigeriana,male,4103,https://lepdata.org/photos/animals/4103.jpg
4102,Abantis nigeriana,male,4102,https://lepdata.org/photos/animals/4102.jpg
1495,Abantis paradisea,female,1495,https://lepdata.org/photos/animals/1495.jpg
518,Abantis pseudonigeriana,male,518,https://lepdata.org/photos/animals/518.jpg
517,Abantis pseudonigeriana,male,517,https://lepdata.org/photos/animals/517.jpg
2827,Abantis rubra,male,2827,https://lepdata.org/photos/animals/2827.jpg
2501,Abantis tanobia,male,2501,https://lepdata.org/photos/animals/2501.jpg
4099,Abantis tanobia,male,4099,https://lepdata.org/photos/animals/4099.jpg
2502,Abantis tanobia,male,2502,https://lepdata.org/photos/animals/2502.jpg
4098,Abantis tanobia,male,4098,https://lepdata.org/photos/animals/4098.jpg
3321,Abisara cameroonensis,male,3321,https://lepdata.org/photos/animals/3321.jpg
3579,Abisara cameroonensis,female,3579,https://lepdata.org/photos/animals/3579.jpg
3320,Abisara cameroonensis,male,3320,https://lepdata.org/photos/animals/3320.jpg
4113,Abisara gerontes,male,4113,https://lepdata.org/photos/animals/4113.jpg
4114,Abisara gerontes,male,4114,https://lepdata.org/photos/animals/4114.jpg
1360,Abisara intermedia,female,1360,https://lepdata.org/photos/animals/1360.jpg
3407,Abisara intermedia,male,3407,https://lepdata.org/photos/animals/3407.jpg
3406,Abisara intermedia,male,3406,https://lepdata.org/photos/animals/3406.jpg
4391,Abisara neavei,female,4391,https://lepdata.org/photos/animals/4391.jpg
4442,Abisara neavei,male,4442,https://lepdata.org/photos/animals/4442.jpg
4441,Abisara neavei,male,4441,https://lepdata.org/photos/animals/4441.jpg
2846,Abisara rogersi,male,2846,https://lepdata.org/photos/animals/2846.jpg
526,Abisara rutherfordii,male,526,https://lepdata.org/photos/animals/526.jpg
854,Abisara rutherfordii,female,854,https://lepdata.org/photos/animals/854.jpg
525,Abisara rutherfordii,male,525,https://lepdata.org/photos/animals/525.jpg
1441,Abisara talantus,male,1441,https://lepdata.org/photos/animals/1441.jpg
1442,Abisara talantus,male,1442,https://lepdata.org/photos/animals/1442.jpg
1202,Abisara tantalus tantalus,female,1202,https://lepdata.org/photos/animals/1202.jpg
4344,Abisara tantalus tantalus,male,4344,https://lepdata.org/photos/animals/4344.jpg
1203,Abisara tantalus tantalus,female,1203,https://lepdata.org/photos/animals/1203.jpg
4345,Abisara tantalus tantalus,male,4345,https://lepdata.org/photos/animals/4345.jpg
1283,Acada annulifer,female,1283,https://lepdata.org/photos/animals/1283.jpg
3921,Acada annulifer,male,3921,https://lepdata.org/photos/animals/3921.jpg
3922,Acada annulifer,male,3922,https://lepdata.org/photos/animals/3922.jpg
15183,Achlyodes busirus,male,15183,https://lepdata.org/photos/animals/15183.jpg
15184,Achlyodes busirus,male,15184,https://lepdata.org/photos/animals/15184.jpg
15185,Achlyodes busirus,female,15185,https://lepdata.org/photos/animals/15185.jpg
15186,Achlyodes busirus,female,15186,https://lepdata.org/photos/animals/15186.jpg
15187,Achlyodes busirus,female,15187,https://lepdata.org/photos/animals/15187.jpg
15188,Achlyodes busirus,female,15188,https://lepdata.org/photos/animals/15188.jpg
15189,Achlyodes busirus,male,15189,https://lepdata.org/photos/animals/15189.jpg
15190,Achlyodes busirus,male,15190,https://lepdata.org/photos/animals/15190.jpg
1274,Acleros bala,male,1274,https://lepdata.org/photos/animals/1274.jpg
1275,Acleros bala,male,1275,https://lepdata.org/photos/animals/1275.jpg
3779,Acleros mackenii,male,3779,https://lepdata.org/photos/animals/3779.jpg
3778,Acleros mackenii,male,3778,https://lepdata.org/photos/animals/3778.jpg
3009,Acleros nigrapex,female,3009,https://lepdata.org/photos/animals/3009.jpg
3340,Acleros nigrapex,male,3340,https://lepdata.org/photos/animals/3340.jpg
3341,Acleros nigrapex,male,3341,https://lepdata.org/photos/animals/3341.jpg
1504,Acleros nigrapex,male,1504,https://lepdata.org/photos/animals/1504.jpg
1483,Acleros ploetzi,male,1483,https://lepdata.org/photos/animals/1483.jpg
1484,Acleros ploetzi,male,1484,https://lepdata.org/photos/animals/1484.jpg
10273,Acraea abdera,male,10273,https://lepdata.org/photos/animals/10273.jpg
10894,Acraea abdera,male,10894,https://lepdata.org/photos/animals/10894.jpg
10272,Acraea abdera,male,10272,https://lepdata.org/photos/animals/10272.jpg
10895,Acraea abdera,male,10895,https://lepdata.org/photos/animals/10895.jpg
2560,Acraea abdera abdera,male,2560,https://lepdata.org/photos/animals/2560.jpg
2673,Acraea abdera eginopsis,female,2673,https://lepdata.org/photos/animals/2673.jpg
3240,Acraea abdera eginopsis,male,3240,https://lepdata.org/photos/animals/3240.jpg
3241,Acraea abdera eginopsis,male,3241,https://lepdata.org/photos/animals/3241.jpg
11526,Acraea acerata,female,11526,https://lepdata.org/photos/animals/11526.jpg
2855,Acraea acerata,male,2855,https://lepdata.org/photos/animals/2855.jpg
7237,Acraea acerata,male,7237,https://lepdata.org/photos/animals/7237.jpg
7404,Acraea acerata,male,7404,https://lepdata.org/photos/animals/7404.jpg
7894,Acraea acerata,female,7894,https://lepdata.org/photos/animals/7894.jpg
2854,Acraea acerata,male,2854,https://lepdata.org/photos/animals/2854.jpg
7238,Acraea acerata,male,7238,https://lepdata.org/photos/animals/7238.jpg
7403,Acraea acerata,male,7403,https://lepdata.org/photos/animals/7403.jpg
7893,Acraea acerata,female,7893,https://lepdata.org/photos/animals/7893.jpg
11525,Acraea acerata,female,11525,https://lepdata.org/photos/animals/11525.jpg
515,Acraea acerata,female,515,https://lepdata.org/photos/animals/515.jpg
3556,Acraea actinotina,male,3556,https://lepdata.org/photos/animals/3556.jpg
3555,Acraea actinotina,male,3555,https://lepdata.org/photos/animals/3555.jpg
2114,Acraea admatha,female,2114,https://lepdata.org/photos/animals/2114.jpg
2504,Acraea admatha,male,2504,https://lepdata.org/photos/animals/2504.jpg
13685,Acraea alcinoe alcinoe,female,13685,https://lepdata.org/photos/animals/13685.jpg
13831,Acraea alcinoe alcinoe,male,13831,https://lepdata.org/photos/animals/13831.jpg
13934,Acraea alcinoe alcinoe,male,13934,https://lepdata.org/photos/animals/13934.jpg
836,Acraea alcinoe alcinoe,female,836,https://lepdata.org/photos/animals/836.jpg
3116,Acraea alcinoe alcinoe,male,3116,https://lepdata.org/photos/animals/3116.jpg
13686,Acraea alcinoe alcinoe,female,13686,https://lepdata.org/photos/animals/13686.jpg
13807,Acraea alcinoe alcinoe,female,13807,https://lepdata.org/photos/animals/13807.jpg
13830,Acraea alcinoe alcinoe,male,13830,https://lepdata.org/photos/animals/13830.jpg
13933,Acraea alcinoe alcinoe,male,13933,https://lepdata.org/photos/animals/13933.jpg
13806,Acraea alcinoe alcinoe,female,13806,https://lepdata.org/photos/animals/13806.jpg
2063,Acraea alciope,female,2063,https://lepdata.org/photos/animals/2063.jpg
6870,Acraea alciope,female,6870,https://lepdata.org/photos/animals/6870.jpg
8116,Acraea alciope,male,8116,https://lepdata.org/photos/animals/8116.jpg
721,Acraea alciope,female,721,https://lepdata.org/photos/animals/721.jpg
3246,Acraea alciope,male,3246,https://lepdata.org/photos/animals/3246.jpg
9259,Acraea alciope,male,9259,https://lepdata.org/photos/animals/9259.jpg
10989,Acraea alciope,female,10989,https://lepdata.org/photos/animals/10989.jpg
3247,Acraea alciope,male,3247,https://lepdata.org/photos/animals/3247.jpg
8115,Acraea alciope,male,8115,https://lepdata.org/photos/animals/8115.jpg
9258,Acraea alciope,male,9258,https://lepdata.org/photos/animals/9258.jpg
10988,Acraea alciope,female,10988,https://lepdata.org/photos/animals/10988.jpg
6869,Acraea alciope,female,6869,https://lepdata.org/photos/animals/6869.jpg
2680,Acraea alticola,female,2680,https://lepdata.org/photos/animals/2680.jpg
3531,Acraea alticola,male,3531,https://lepdata.org/photos/animals/3531.jpg
3530,Acraea alticola,male,3530,https://lepdata.org/photos/animals/3530.jpg
9542,Acraea andromacha,male,9542,https://lepdata.org/photos/animals/9542.jpg
6758,Acraea andromacha,female,6758,https://lepdata.org/photos/animals/6758.jpg
9505,Acraea andromacha,male,9505,https://lepdata.org/photos/animals/9505.jpg
11434,Acraea andromacha,female,11434,https://lepdata.org/photos/animals/11434.jpg
6757,Acraea andromacha,female,6757,https://lepdata.org/photos/animals/6757.jpg
9543,Acraea andromacha,male,9543,https://lepdata.org/photos/animals/9543.jpg
11435,Acraea andromacha,female,11435,https://lepdata.org/photos/animals/11435.jpg
9504,Acraea andromacha,male,9504,https://lepdata.org/photos/animals/9504.jpg
2959,Acraea bonasia,male,2959,https://lepdata.org/photos/animals/2959.jpg
8002,Acraea bonasia,female,8002,https://lepdata.org/photos/animals/8002.jpg
1781,Acraea bonasia,female,1781,https://lepdata.org/photos/animals/1781.jpg
7278,Acraea bonasia,male,7278,https://lepdata.org/photos/animals/7278.jpg
12032,Acraea bonasia,female,12032,https://lepdata.org/photos/animals/12032.jpg
12454,Acraea bonasia,male,12454,https://lepdata.org/photos/animals/12454.jpg
1780,Acraea bonasia,female,1780,https://lepdata.org/photos/animals/1780.jpg
7277,Acraea bonasia,male,7277,https://lepdata.org/photos/animals/7277.jpg
2960,Acraea bonasia,male,2960,https://lepdata.org/photos/animals/2960.jpg
8001,Acraea bonasia,female,8001,https://lepdata.org/photos/animals/8001.jpg
12031,Acraea bonasia,female,12031,https://lepdata.org/photos/animals/12031.jpg
12453,Acraea bonasia,male,12453,https://lepdata.org/photos/animals/12453.jpg
2791,Acraea caecilia,female,2791,https://lepdata.org/photos/animals/2791.jpg
3814,Acraea caecilia,male,3814,https://lepdata.org/photos/animals/3814.jpg
